support-group,subject,body,sentiment,urgency
Product Consultation,Compatibility of XDR-5000 Wireless Headset with Dell XPS 13,"Hi there,

I’m planning to purchase the XDR-5000 Wireless Headset and want to confirm if it will pair seamlessly with my Dell XPS 13 running Windows 11 Pro (build 22000). Do I need to install any special Bluetooth drivers or software to maintain high-quality audio? Also, does the headset support simultaneous connections to two devices?

Thanks for your help,
John Smith",neutral,low
Product Consultation,Excited to buy ProMax 15 UltraBar—warranty question!,"Hello Support Team,

I’ve heard great things about the ProMax 15 UltraBar sound system and can’t wait to get one. The 2-year warranty sounds reassuring—could you let me know exactly what’s covered? For instance, would it replace the unit if I accidentally dropped it during setup or spilled water on it? Also, do you offer an optional 3-year extension?

Thanks a ton,
Maria Lopez",happy,low
Product Consultation,Confused between ProCam S2 and S3—need real advice,"Good afternoon,

I’ve been researching the ProCam S2 and S3 digital cameras, but all the spec sheets sound like marketing fluff. Both claim 24 MP and 4K video—what actually makes the S3 worth €200 more? I need honest pros and cons on low-light performance and autofocus speed before I commit.

Frustrated,
Ling Chen",unhappy,medium
Product Consultation,Why isn’t TX-100 workbench listed weight limit!?,"Support,

I’ve searched your site for the Titan Ex Workbench (Model TX-100) weight limit and found nothing—it’s absurd. I need to mount my 220 kg milling machine safely. If I buy it and it collapses, who’s liable? Provide the exact load capacity ASAP.

—Ahmed El-Sayed",very unhappy,high
Product Consultation,Absolute newbie—HomeBrew Go Kit questions,"Hey Team,

I’m completely new to home brewing and absolutely thrilled to try the HomeBrew Go Starter Kit (SKU HB-001). The description sounds beginner-friendly, but I’m nervous about sanitation steps and temperature control. Are step-by-step video tutorials included? Any tips for a first-timer are much appreciated!

Cheers,
Emma Johnson",happy,low
Order Support,Unable to select American Express at checkout,"Hello,

I tried to place an order for the SolarCharge 200 Power Bank (Order #23456) but only Visa and PayPal options appear at checkout. I prefer to use my American Express card ending in 1234. Is Amex supported, and if so, how can I enable that option?

Thank you,
Carlos García",neutral,low
Order Support,Missing express shipping for order #98765,"Hi there,

I need the SmartLamp Pro delivered by May 30, 2025, but the only option is “Standard (5–7 business days).” That’s too slow for my broadcast event. Why isn’t express available for Berlin? This is frustrating—please fix it.

Mark Taylor",unhappy,medium
Order Support,Bug in cart: quantity not updating price!,"Hey Support,

I added four EcoTherm Portable Heaters (ETH-45) to my cart, but the total still shows €79.99. I’ve wasted 20 minutes refreshing and switching browsers. This is unacceptable—correct it now.

Mark Taylor",very unhappy,high
Order Support,"Newsletter promo code ""SPRING25""—help please","Good morning,

I got a promo code ""SPRING25"" in your April newsletter for 25% off the AquaPure Water Filter (#APF-3). I tried applying it at checkout, but I get an ""invalid code"" message. Could you check if it’s still valid and guide me?

Thanks so much!
Isabella Martinez",happy,low
Order Support,"International shipping to Toronto, Canada","Support Team,

Do you ship the TerraTable Outdoor Desk (TD-02) to Toronto, Ontario? If so, which carrier do you use, and what’s the estimated delivery time and cost? Also, are there import duties or taxes I should factor in?

Regards,
David Nguyen",neutral,low
Technical Assistance,Installation error 0x80070005 on SolarGuard Setup,"Hi Support,

I downloaded SolarGuard Pro v3.2.1 on Windows 10 (Build 19044) and the installer fails with error 0x80070005. I’ve run as admin and disabled antivirus, but no luck. What can I try next?

Thanks,
Olivia Brown",neutral,medium
Technical Assistance,Firmware update stops at 60%—this is ridiculous,"Hello,

Updating firmware on my RoboClean X1 (serial RCX1-45211) stalls at 60% every time with no error. I’ve tried three cables and two PCs. This is a nightmare—how do I get a working robot?

Regards,
Mohamed Hassan",unhappy,high
Technical Assistance,TrailCam 200 won’t power on—need urgent fix!,"Hey,

I installed a new EN-EL15 clone battery in my TrailCam 200, but it still won’t power on. The charger shows green, so the battery is charged. I’m furious—I need this for an 8 AM shoot tomorrow. Provide a solution immediately.

—Lena Fischer",very unhappy,high
Technical Assistance,Bluetooth pairing success—but keeps dropping,"Support,

I finally paired my SoundSphere BT (SS-BT8) with my iPhone 12—yay! But it disconnects every 5–10 minutes. Is there a patch or setting tweak I’m missing?

Cheers,
Raj Patel",happy,medium
Technical Assistance,Sonoma Beta compatibility for companion app,"Hi,

I’m on macOS 14 Sonoma Beta and the SoundSphere Companion app crashes on launch. Will an update support Sonoma soon, or is there a workaround?

Thanks,
Hannah Weber",neutral,low
Shipping and Delivery Updates,"Order #34567 stuck at ""Label Created"" status","Hello,

I ordered the EcoGarden Premium Planter (Order #34567) on May 15, and DHL tracking has been ""Label Created"" since May 17. Has the package actually shipped? Please check and share an updated ETA.

Regards,
Thomas Müller",neutral,medium
Shipping and Delivery Updates,Tracking link 404—fix it now!,"Hi Team,

The tracking link for my SmartSip Mug (Order #45678) just shows a 404. This is unacceptable—resend a working URL or I want a refund on shipping fees.

Eva Novak",very unhappy,high
Shipping and Delivery Updates,Partial delivery for Order #56789—where’s the rest?,"Good afternoon,

I received two boxes today but ordered five UltraFlash LED Strips (Order #56789). Why did three items not arrive? If you’re sending a second shipment, when will it get here? This delay is annoying.

Daniel Petrov",unhappy,medium
